Date,Campaign Name,Impressions,Clicks,Conversions,Spend,Attributed Revenue,Platform
2025-01-01,Shopee Affiliate / Performance Campaign,13655,1130,74,2445.64,11800.72,Shopee
2025-01-08,Shopee Affiliate / Performance Campaign,24724,1063,30,2100.65,13750.88,Shopee
2025-01-15,Shopee Affiliate / Performance Campaign,15483,878,56,1679.29,12440.33,Shopee
2025-01-22,Shopee Affiliate / Performance Campaign,19339,1088,38,2294.3,12384.22,Shopee
2025-01-29,Shopee Affiliate / Performance Campaign,19088,691,76,1066.09,6004.26,Shopee
2025-02-05,Shopee Affiliate / Performance Campaign,10580,656,17,2487.25,13124.21,Shopee
2025-02-12,Shopee Affiliate / Performance Campaign,10113,695,74,1430.95,10012.72,Shopee
2025-02-19,Shopee Affiliate / Performance Campaign,9586,536,63,1319.01,8208.42,Shopee
2025-02-26,Shopee Affiliate / Performance Campaign,10238,808,18,1130.09,5311.85,Shopee
2025-03-05,Shopee Affiliate / Performance Campaign,13981,928,34,1600.42,11998.82,Shopee
2025-03-12,Shopee Affiliate / Performance Campaign,20425,704,75,540.5,3521.81,Shopee
2025-03-19,Shopee Affiliate / Performance Campaign,22955,282,67,2168.14,9081.51,Shopee
2025-03-26,Shopee Affiliate / Performance Campaign,16345,1090,57,2262.76,10805.6,Shopee
2025-04-02,Shopee Affiliate / Performance Campaign,24609,562,40,1039.57,5595.75,Shopee
2025-04-09,Shopee Affiliate / Performance Campaign,14362,1149,29,2127.04,13799.94,Shopee
2025-04-16,Shopee Affiliate / Performance Campaign,18410,983,57,2351.75,11416.95,Shopee
2025-04-23,Shopee Affiliate / Performance Campaign,6532,653,67,1771.73,6258.15,Shopee
2025-04-30,Shopee Affiliate / Performance Campaign,16404,840,71,1674.19,7188.29,Shopee
2025-05-07,Shopee Affiliate / Performance Campaign,24894,1138,25,1275.31,5673.22,Shopee
2025-05-14,Shopee Affiliate / Performance Campaign,6786,698,44,2273.46,10789.64,Shopee
2025-05-21,Shopee Affiliate / Performance Campaign,5578,790,39,2116.22,12519.36,Shopee
2025-05-28,Shopee Affiliate / Performance Campaign,14356,629,44,1838.24,12331.45,Shopee
2025-06-04,Shopee Affiliate / Performance Campaign,6689,310,73,1408.85,6936.8,Shopee
2025-06-11,Shopee Affiliate / Performance Campaign,19189,1182,32,1705.77,10311.97,Shopee
2025-06-18,Shopee Affiliate / Performance Campaign,23460,757,41,1080.62,4197.34,Shopee
2025-06-25,Shopee Affiliate / Performance Campaign,12249,808,44,1667.53,10624.14,Shopee
