Date,Ad Name,Status,Ad Type,Product ID,Target Audience,Setting,Bid Price,Placement,Keywords,Match Type,Impressions,Clicks,Orders,Items Sold,Sales,Ad Spend,Product Impressions,Product Clicks,Platform,Campaign Type Logic,Channels
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,,-,-,-,GMV Max Auto Bidding (Shop),ทั้งหมด,-,-,4226,76,6,6,3924,1000,0,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,-,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,-,-,-,599,14,3,3,1889,200,0,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,-,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,-,-,-,129,5,1,1,765,200,0,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,41814072096,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,เลือกอัตโนมัติ,-,518,13,0,0,0,100,0,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,collagen,Broad Match,4,0,0,0,0,0,40,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,คลอโรฟิลล์,Broad Match,4,0,0,0,0,0,36,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,วิตามินซี,Broad Match,2,0,0,0,0,0,8,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,collagen เกาหลี,Broad Match,2,0,0,0,0,0,20,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,อาหารเสริมคุมหิว,Broad Match,2,0,0,0,0,0,8,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,เซรัม,Broad Match,2,0,0,0,0,0,4,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,vitamin,Broad Match,1,0,0,0,0,0,4,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,คอลลาเจนซอง,Broad Match,1,0,0,0,0,0,10,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,วิตามินซีเกาหลี,Broad Match,1,0,0,0,0,0,4,0,Shopee,Normal Day,Ads
01/06/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,เกาหลี,Broad Match,1,0,0,0,0,0,4,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,,-,-,-,GMV Max Auto Bidding (Shop),ทั้งหมด,-,-,3567,88,21,21,13099,1000,0,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,-,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,-,-,-,851,13,1,1,1090,200,0,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,-,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,-,-,-,256,8,2,2,1530,200,0,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาสินค้า,41814072096,-,-,โฆษณาเพิ่มยอดขายแบบตั้งค่า ROAS เอง,ทั้งหมด,เลือกอัตโนมัติ,-,348,6,1,1,370,100,0,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,คลอโรฟิลล์,Broad Match,33,2,0,0,0,16.5,279,1,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,collagen,Broad Match,22,0,0,0,0,0,127,0,Shopee,Normal Day,Ads
01/05/26,โฆษณาร้านค้า,กำลังดำเนินการ,โฆษณาร้านค้า,-,-,กำหนดเอง,ตั้งราคาประมูลด้วยตัวเอง,-,chlorophyll,Broad Match,14,2,2,2,999,12.8,115,4,Shopee,Normal Day,Ads
